Names,OpenAlex Ids,DimensionAI Ids
alan d'andrea,"['A5045114091','A5044648110']",['ur.012727024557.25']
james fagin,"['A5080716045', 'A5026026919', 'A5079286906']",['ur.01002446502.38']
daniel haber,"['A5038280749', 'A5018290245']",['ur.01221020161.61']
ethylin jabs,"['A5035104305', 'A5038991667']",['ur.0757041626.26']
karl nath,['A5034141505'],['ur.0621613670.95']
bishr omary,"['A5041239445', 'A5007337339']",['ur.014730211054.29']
john raymond,['A5033763744'],['ur.0717265610.95']
fuad ziyadeh,['A5022475409'],['ur.0761676730.05']
maria abreu,"['A5047978655', 'A5012357829']",['ur.0606477677.70']
michael ackerman,['A5055125250'],['ur.01227355747.25']
mariana kaplan,['A5010407321'],['ur.012647507142.53']
feroz papa,['A5086320327'],['ur.01147037443.33']
paul taylor,['A5078452635'],['ur.013436160257.94']
loren walensky,['A5020222350'],['ur.01324277771.74']
yiping yang,"['A5071675435','A5019675501']",['ur.0707211155.90']
steven albelda,"['A5005953721','A5011391579']",['ur.015000016117.95']
richard  anderson,"['A5069075055','A5032127617','A5022443356','A5091361752','A5023690299', 'A5076333851']",['ur.010576736217.64']
peter arvan,"['A5072170846', 'A5017119856']",['ur.01002760245.88']
adam asch,['A5022359317'],['ur.0615715006.01']
john belmont,['A5047263678'],['ur.01140262452.40']
bradford berk,"['A5038661951','A5003632963']",['ur.012523312277.63']
morris birnbaum,['A5013656176'],['ur.01033446252.27']
richard blumberg,['A5054599656'],['ur.0633257054.96']
douglas bradley,"['A5001593872','A5057140940']",['ur.01153467234.36']
kenneth bridges,['A5033014045'],['ur.016162551417.02']
william carroll,['A5080485119'],['ur.01244066051.55']
christine cartwright,['A5035996734'],"['ur.01003065721.10','ur.0741204747.88' ]"
webster cavenee,['A5072507966'],['ur.012740223223.69']
anthony cerami,['A5025863770'],['ur.01213472726.84']
jeffrey cohen,['A5024634769'],['ur.01325554464.07']
fabio cominelli,['A5008150296'],['ur.0620555626.93']
james covell,['A5077052779'],['ur.01102714156.98']
bruce cronstein,['A5059516590'],['ur.0711105165.79']
garry cutting,['A5066829790'],['ur.0752157206.07']
mary dinauer,['A5060621536'],['ur.0651722340.16']
daniel drucker,"['A5057472647','A5089191202']",['ur.0763704140.49']
keith elkon,['A5005493295'],['ur.01336001101.35']
scott friedman,"['A5076560982','A5055820748','A5004921350']",['ur.01152344370.10']
gerhard giebisch,"['A5045014382', 'A5027429869', 'A5084929452']",['ur.0772206703.69']
dwight gary gilliland,['A5084929452'],['ur.0744536167.42']
christopher glass,"['A5044074995', 'A5039839135']",['ur.01067240353.95']
daniel goldberg,['A5029982946'],['ur.01157271565.79']
roberto ariel gomez,"['A5049594063', 'A5029074504']",['ur.01356023066.14']
john griffin,"['A5061652432','A5027887363']",['ur.016604543402.68']
murray grossman,['A5047108669'],['ur.01305430265.06']
samuel hawgood,['A5032566335'],['ur.013155066547.55']
jay heinecke,"['A5035595391','A5082446491']",['ur.01020255414.31']
stephen heinemann,['A5000071767'],['ur.014171277202.92']
alan hillman,['A5089674976'],"['ur.01271177722.98', 'ur.0627200551.43']"
suzanne ildstad,['A5060383525'],['ur.0636442207.95']
richard johnson,['A5004471228'],['ur.010175037017.23']
william kane,['A5052835054'],['ur.0665466315.82']
stefan karlsson,['A5070342797'],['ur.0622521714.49']
michael kastan,['A5021559507'],['ur.01277715415.41']
daniel kastner,['A5031169759'],['ur.012247544157.63']
