Name,ID
Yale Nemerson,['ur.01277425615.41']
Elia Ayoub,['ur.0735577112.30']
John Dietschy,['ur.01025071275.97']
Yale Enson,['ur.0101401022.42']
Mehran Goulian,['ur.0110335427.79']
Norman Javitt,['ur.014367154157.97']
Hermes Kontos,['ur.01365573305.13']
Gilbert Levinson,['ur.063473265.70']
Harvey Marver,['ur.0103350205.47']
Harold Neu,['ur.0770536113.50']
Arthur Eisen,['ur.01205720337.52']
Barry Fanburg,['ur.01371673556.42']
Dorothea Zucker-Franklin,['ur.053601322.36']
Nathan Zvaifler,['ur.0105303412.71']
Phyllis Bodel,['ur.052632615.36']
Sidney Cooperband,['ur.056035721.35']
Jacques Kessler,['ur.0103451421.33']
Stanley Korenman,['ur.054037724.92']
Gildon Beall,['ur.0745507037.13']
Neil Cherniack,['ur.01115513255.09']
Blas Frangione,['ur.01346307176.17']
Irwin Freedberg,['ur.0751444026.49']
Thomas Merimee,['ur.070327605.06']
I Samloff,['ur.047134623.93']
Wadi Suki,['ur.01162021515.51']
Shirley Ebbe,['ur.01240650601.63']
Clyde Bardin,['ur.012322211332.27']
Ward Bullock,['ur.0722437767.92']
Jack Coburn,['ur.057162657.14']
Richard Levere,['ur.01120432047.56']
Michael Mosesson,['ur.015122611337.60']
Ursula Muller-Eberhard,['ur.065441563.04']
Leon Sabath,['ur.052345724.22']
Burton Sobel,['ur.01255545437.45']
Martin Surks,['ur.0615233566.88']
Siamak Adibi,['ur.01160461772.93']
Carl Bentzel,['ur.01173542743.88']
Kevin Catt,['ur.01062710551.51']
Wallace Clyde,['ur.0604674001.96']
Harvey Colten,['ur.0713143534.23']
Bernard Forget,['ur.01061255657.32']
Eugene Frenkel,['ur.0105070462.54']
Jared Grantham,['ur.013741776477.58']
Mitchell Halperin,['ur.0634305514.71']
Leon Hoyer,['ur.01243144546.88']
Jamshid Javid,['ur.066764457.21']
Marshall Lichtman,['ur.01224770411.99']
Ruy Lourenco,['ur.0105167756.85']
John Salvaggio,['ur.0110452137.82']
Manning Thaler,['ur.0107305341.81']
Harry Beaty,['ur.053552725.23']
Viktor Bokisch,['ur.067314304.25']
Inder Chopra,['ur.01161623132.59']
Darrell Fanestil,['ur.065312163.22']
Alexander Fefer,['ur.0100115522.65']
Darryl Granner,['ur.010704766044.23']
Ronald Kalkhoff,['ur.052212163.08']
Sanford Krantz,['ur.0622452513.91']
Sheldon Rothenberg,['ur.01132362500.17']
John Voorhees,['ur.01144600536.45']
Joseph Warshaw,['ur.01327560533.39']
Aubie Angel,['ur.01242453510.02']
Edgar Cathcart,['ur.01133267027.05']
Mortimer Civan,['ur.0673454003.15']
Coy Fitch,['ur.0100334157.02']
Franklyn Knox,['ur.01135051561.21']
Julian Niemetz,['ur.0112767513.11']
Jeremiah Silbert,['ur.0720403045.44']
Antero So,['ur.01021113321.80']
Frank Stockdale,['ur.077567555.00']
Leonard Jarett,['ur.01347725216.99']
Edwin Beachey,['ur.01365524565.68']
Stanley Birge,['ur.01067473175.85']
Guenther Boden,['ur.01304430314.14']
Donald Castell,['ur.01335607170.34']
Willard Daggett,['ur.0714217163.19']
Vincent Discala,['ur.074512464.09']
Aron Fisher,['ur.01360652102.21']
Harvey Gralnick,['ur.0653122372.66']
Khursheed Jeejeebhoy,['ur.01027555135.23']
George Kaloyanides,['ur.0113073505.56']
Laurence Kedes,['ur.014777410327.76']
Robert Orange,['ur.072330537.93']
Hugo Jasin,['ur.01161777342.36']
Robert Adelstein,['ur.01274046465.50']
Joseph Avruch,['ur.01074100404.77']
Roland Blantz,['ur.01064334401.20']
John Brunzell,['ur.0620666024.50']
Frederick DeRubertis,['ur.01141346353.49']
Kenneth Gabbay,['ur.0717212123.10']
Jack Hawiger,['ur.010760566354.87']
Micheline Mathews-Roth,['ur.0106420001.97']
Ward Olsen,['ur.015621773264.02']
Ruy Soeiro,['ur.0702451700.67']
Bobby Stinebaugh,['ur.0103421055.06']
Andre Van Herle,['ur.046322757.06']
Kirk Wuepper,['ur.055577330.41']
Ashley Haase,['ur.01326661540.74']
Philip Askenase,['ur.0707235634.37']
Philip Coffino,['ur.01032407212.73']
Raphael Dolin,['ur.01315101707.18']
Dwain Eckberg,['ur.01330025277.57']
Glenn Peake,['ur.01312714517.94']
Daniel Roncari,['ur.055156511.56']
Irwin Scher,['ur.051627001.58']
Isaias Spilberg,['ur.01170420345.15']
Gordon Weir,['ur.01216727245.57']
