year,first_name,middle_name,last_name,affiliation,original specialization,modified specializationmemoriam,email_affiliation,related_aff,umbrella_spec,,
1969,Thomas,N,James,[],[],[],"['ASCI', 'AAP']",[],[],,
1969,Simon,,Karpatkin,[],[],[],"['ASCI', 'AAP']",[],[],,
1969,Philip,W.,Majerus,[],[],[],"['ASCI', 'AAP']",[],[],,
1969,Ralph,L.,Nachman,['Weill Cornell Medical College'],"['Oncology', 'Hematology', 'Administration']",['Hematology'],"['ASCI', 'AAP']",[],[],,
1969,Yale,,Nemerson,[],[],[],"['ASCI', 'AAP']",[],[],,
1969,Andrew,G.,Wallace,['Dartmouth Geisel School of Medicine'],"['Administration', 'Cardiology']",['Cardiology'],"['ASCI', 'AAP']",[],[],,
1970,Paul,J.,Cannon,[],[],[],"['ASCI', 'AAP']",[],[],,
1970,Arthur,Z.,Eisen,[],[],[],"['ASCI', 'AAP']",[],[],,
1970,Barry,L.,Fanburg,['Tufts University School of Medicine'],"['Pulmonology', 'Cell Biology', 'Critical Care Medicine']","['Pulmonology', 'Critical Care Medicine']","['ASCI', 'AAP']",['Tuft University Affiliates*'],"['Tufts Medical Center', 'Tufts University School of Medicine']",,
1970,Peter,T,Macklem,[],[],[],"['ASCI', 'AAP']",[],[],,
1970,Stephen,E.,Malawista,[],[],[],"['ASCI', 'AAP']",[],[],,
1970,Bert,W.,O'Malley,['Baylor College of Medicine'],"['Cell Biology', 'Molecular Biology']",[],"['ASCI', 'AAP']",[],[],,
1970,Joseph,S,Pagano,[],[],[],"['ASCI', 'AAP']",[],[],,
1970,Dorothea,,Zucker-Franklin,[],[],[],"['ASCI', 'AAP']",[],[],,
1970,Nathan,J.,Zvaifler,[],[],[],"['ASCI', 'AAP']",[],[],,
1971,Robert,L.,Baehner,['University of Southern California Keck School of Medicine'],"['Pediatrics', 'Cell Biology', 'Hematology']","['Pediatrics', 'Hematology']","['ASCI', 'AAP']",[],[],,
1971,Paul,P.,Carbone,[],[],[],"['ASCI', 'AAP']",[],[],,
1971,Theodore,C.,Eickhoff,[],[],[],"['ASCI', 'AAP']",[],[],,
1971,Eugene,D.,Jacobson,[],['Gastroenterology'],['Gastroenterology'],"['ASCI', 'AAP']",[],[],,
1971,Ronald,L.,Nagel,[],[],[],"['ASCI', 'AAP']",[],[],,
1972,J.,Donald,Capra,[],[],[],"['ASCI', 'AAP']",[],[],,
1972,Shirley,,Ebbe,"['University of California, Berkeley']",['Hematology'],['Hematology'],"['ASCI', 'AAP']",[],[],,
1972,Philip,,Felig,[],[],[],"['ASCI', 'AAP']",[],[],,
1972,Robert,,Gallo,['University of Maryland School of Medicine'],"['Virology', 'HIV', 'Immunology', 'Vaccines']",[],"['ASCI', 'AAP']",[],[],,
1972,Marshall,M.,Kaplan,[],[],[],"['ASCI', 'AAP']",[],[],,
1973,Siamak,A.,Adibi,[],[],[],"['ASCI', 'AAP']",[],[],,
1973,Bernard,M.,Babior,[],[],[],"['ASCI', 'AAP']",[],[],,
1973,Glenn,A.,Langer,[],[],[],"['ASCI', 'AAP']",[],[],,
1973,William,W,Parmley,[],['Cardiology'],['Cardiology'],"['ASCI', 'AAP']",[],[],,
1973,Lester,B.,Salans,['Icahn School of Medicine at Mount Sinai'],"['Administration', 'Internal Medicine', 'Endocrinology', 'Metabolism']","['Internal Medicine', 'Endocrinology', 'Metabolism']","['ASCI', 'AAP']",['Mount Sinai Affiliates*'],"['Mount Sinai Hospital, Toronto', 'Icahn School of Medicine at Mount Sinai', 'Mount Sinai Beth Israel', 'Samuel Lunenfeld Research Institute of Mount Sinai Hospital']",,
1973,Peter,A.,Ward,['University of Michigan Medical School'],"['Immunology', 'Pathology']",['Pathology'],"['ASCI', 'AAP']",[],[],,
1974,Thomas,S.,Edgington,[],[],[],"['ASCI', 'AAP']",[],[],,
1974,Andrew,H.,Kang,"['University of Tennessee, Memphis College of Medicine']","['Internal Medicine', 'Immunology', 'Biochemistry', 'Rheumatology']","['Internal Medicine', 'Rheumatology']","['ASCI', 'AAP']",['University of Tennessee Affiliates*'],"['University of Tennessee Health Science Center', 'University of Tennessee, Graduate School of Medicine', 'University of Tennessee, Memphis College of Medicine']",,
